ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
32,001,0000,320010000592,2,32-001-0000-03,00036,2,01,32001000059201,01,1,1,36,02,2020,0101,032,221,1,,,,,,1
32,001,0000,320010000596,2,32-001-0000-03,00036,2,02,32001000059601,01,1,3,26,08,2015,0301,032,221,1,,,,,,1
32,001,0000,320010000596,2,32-001-0000-03,00036,2,02,32001000059602,02,1,3,13,07,2015,0301,032,221,1,,,,,,1
32,001,0000,320010000596,2,32-001-0000-03,00036,2,02,32001000059603,03,1,3,6,08,2015,0301,032,221,1,,,,,,1
32,001,0000,320010000596,2,32-001-0000-03,00036,2,02,32001000059604,04,1,3,3,08,2015,0301,032,221,1,,,,,,1
32,001,0000,320010000596,2,32-001-0000-03,00036,2,02,32001000059605,05,1,1,48,08,2015,0102,032,221,1,,,,,,1
32,001,0000,320010000633,2,32-001-0000-03,00036,2,01,32001000063301,01,1,1,21,08,2019,0101,032,221,3,01,2020,0301,1,04,1
32,001,0000,320010000686,2,32-001-0000-03,00036,2,01,32001000068601,01,1,1,27,02,2017,0301,032,221,1,,,,,,1
32,001,0000,320010000717,2,32-001-0000-03,00036,2,01,32001000071701,01,1,1,30,05,2019,0101,032,221,1,,,,,,1
32,001,0000,320010000723,2,32-001-0000-03,00036,2,01,32001000072301,01,1,1,28,03,2016,0101,032,221,3,11,2016,0301,1,01,1
32,001,0000,320010000726,2,32-001-0000-03,00036,2,01,32001000072601,01,1,1,25,03,2020,0101,032,221,1,,,,,,1
32,001,0000,320010000739,2,32-001-0000-03,00037,2,01,32001000073901,01,1,1,27,07,2019,0401,032,221,1,,,,,,1
32,001,0000,320010000751,2,32-001-0000-03,00038,2,01,32001000075101,01,1,3,64,03,2017,0301,032,221,1,,,,,,1
32,001,0000,320010000752,2,32-001-0000-03,00038,2,01,32001000075201,01,1,1,58,01,2019,0101,032,221,1,,,,,,1
32,001,0000,320010000766,2,32-001-0000-03,00038,2,01,32001000076601,01,1,1,48,12,2015,0101,032,221,3,12,2018,0101,1,01,1
32,001,0000,320010000768,2,32-001-0000-03,00038,2,01,32001000076801,01,1,1,25,10,2018,0102,032,221,1,,,,,,1
32,001,0000,320010000787,2,32-001-0000-03,00038,2,01,32001000078701,01,1,3,60,01,2020,0301,032,221,1,,,,,,1
32,001,0000,320010000787,2,32-001-0000-03,00038,2,01,32001000078702,02,1,1,59,01,2020,0301,032,221,1,,,,,,1
32,001,0000,320010000810,2,32-001-0000-03,00038,2,01,32001000081001,01,1,1,52,02,2018,0102,032,221,3,01,2020,0102,1,01,1
32,001,0000,320010000827,2,32-001-0000-03,00045,3,01,32001000082701,01,1,1,46,03,2020,0101,032,221,1,,,,,,1
32,001,0000,320010000830,2,32-001-0000-03,00045,3,01,32001000083001,01,1,3,31,03,2016,0401,032,221,1,,,,,,1
32,002,0000,320020000002,1,32-002-0000-03,00001,1,01,32002000000201,01,1,3,24,04,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000010,1,32-002-0000-03,00002,1,01,32002000001001,01,1,1,26,04,2017,0101,032,221,1,,,,,,1
32,002,0000,320020000052,1,32-002-0000-03,00007,1,01,32002000005201,01,1,1,42,02,2018,0101,032,221,1,,,,,,1
32,002,0000,320020000080,1,32-002-0000-03,00011,1,01,32002000008001,01,1,1,25,11,2015,0101,032,221,1,,,,,,1
32,002,0000,320020000087,1,32-002-0000-03,00011,1,01,32002000008701,01,1,1,26,11,2018,0101,032,221,1,,,,,,1
32,002,0000,320020000088,1,32-002-0000-03,00011,1,01,32002000008801,01,1,3,62,08,2018,0301,032,221,1,,,,,,1
32,002,0000,320020000109,1,32-002-0000-03,00013,1,01,32002000010901,01,1,1,22,05,2017,0101,032,221,1,,,,,,1
32,002,0000,320020000109,1,32-002-0000-03,00013,1,01,32002000010902,02,1,1,17,05,2017,0101,032,221,1,,,,,,1
32,002,0000,320020000121,1,32-002-0000-03,00014,1,01,32002000012101,01,1,3,29,05,2016,0301,032,221,1,,,,,,1
32,002,0000,320020000121,1,32-002-0000-03,00014,1,01,32002000012102,02,1,1,4,05,2016,0301,032,221,1,,,,,,1
32,002,0000,320020000175,1,32-002-0000-03,00019,1,01,32002000017501,01,1,1,19,12,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000180,1,32-002-0000-03,00020,1,01,32002000018001,01,1,1,20,01,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000233,1,32-002-0000-03,00027,1,02,32002000023301,01,1,1,22,07,2019,0101,032,999,9,,,,,,1
32,002,0000,320020000274,1,32-002-0000-03,00033,1,01,32002000027401,01,1,1,52,01,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000287,1,32-002-0000-03,00035,1,01,32002000028701,01,1,1,69,10,2019,0809,032,221,1,,,,,,1
32,002,0000,320020000307,1,32-002-0000-03,00038,1,01,32002000030701,01,1,3,23,06,2017,0401,032,221,1,,,,,,1
32,002,0000,320020000312,1,32-002-0000-03,00039,1,01,32002000031201,01,1,3,14,11,2019,0301,032,221,1,,,,,,1
32,002,0000,320020000312,1,32-002-0000-03,00039,1,01,32002000031202,02,1,1,11,11,2019,0301,032,221,1,,,,,,1
32,002,0000,320020000315,1,32-002-0000-03,00040,1,01,32002000031501,01,1,1,19,10,2019,0601,032,999,9,,,,,,1
32,002,0000,320020000316,1,32-002-0000-03,00040,1,01,32002000031601,01,1,1,21,10,2019,0101,032,221,9,,,,,,1
32,002,0000,320020000325,1,32-002-0000-03,00041,1,02,32002000032501,01,1,1,36,06,2016,0101,014,221,3,12,2018,0301,1,02,1
32,002,0000,320020000326,1,32-002-0000-03,00041,1,01,32002000032601,01,1,1,25,09,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000349,1,32-002-0000-03,00045,1,01,32002000034901,01,1,1,55,07,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000349,1,32-002-0000-03,00045,1,01,32002000034902,02,1,1,23,02,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000354,1,32-002-0000-03,00047,1,01,32002000035401,01,1,3,20,07,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000360,1,32-002-0000-03,00050,1,01,32002000036001,01,1,1,18,02,2020,0102,032,221,9,,,,,,1
32,002,0000,320020000382,1,32-002-0000-03,00052,1,01,32002000038201,01,1,1,43,02,2020,0101,032,221,1,,,,,,1
32,002,0000,320020000430,1,32-002-0000-03,00058,1,01,32002000043001,01,1,1,20,07,2015,0101,032,221,1,,,,,,1
32,002,0000,320020000430,1,32-002-0000-03,00058,1,01,32002000043002,02,1,1,56,08,2019,0102,032,221,1,,,,,,1
32,002,0000,320020000471,1,32-002-0000-03,00062,1,01,32002000047101,01,1,1,63,03,2020,0809,032,221,1,,,,,,1
32,002,0000,320020000475,1,32-002-0000-03,00063,1,01,32002000047501,01,1,3,73,08,2018,0301,032,221,3,09,2018,0301,1,02,1
32,002,0000,320020000476,1,32-002-0000-03,00063,1,01,32002000047601,01,1,1,28,12,2019,0101,032,221,1,,,,,,1
32,002,0000,320020000476,1,32-002-0000-03,00063,1,01,32002000047602,02,1,1,26,03,2019,0101,032,221,3,03,2020,0301,3,,1
32,002,0000,320020000479,1,32-002-0000-03,00063,1,01,32002000047901,01,1,3,80,01,2020,0301,032,221,3,03,2020,0301,1,02,1
32,002,0000,320020000487,1,32-002-0000-03,00063,1,01,32002000048701,01,1,1,52,08,2018,0101,032,221,1,,,,,,1
32,002,0000,320020000494,1,32-002-0000-03,00063,1,01,32002000049401,01,1,1,24,05,2017,0101,032,221,3,11,2019,0801,1,03,1
32,002,0000,320020000510,1,32-002-0000-03,00064,1,01,32002000051001,01,1,1,65,02,2020,0403,032,221,3,03,2020,0301,1,01,1
32,002,0000,320020000522,1,32-002-0000-03,00064,1,01,32002000052201,01,1,1,60,11,2019,0403,032,221,1,,,,,,1
32,002,0000,320020000526,1,32-002-0000-03,00065,1,01,32002000052601,01,1,1,16,04,2017,0101,032,221,1,,,,,,1
